sample,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pressure_pa,temperature_c,altitude_m,lat,lon,speed_kts
88,-0.3413,0.0698,1.1736,-2.3053,1.3588,1.2595,100108.00,28.32,101.82,0.000000,0.000000,0.0000
89,-0.3486,0.0801,1.1709,-1.8473,1.6107,-0.2137,100105.00,28.32,102.07,0.000000,0.000000,0.0000
90,-0.3569,0.0881,1.1521,-3.9695,1.5191,0.0840,100102.00,28.32,102.32,0.000000,0.000000,0.0000
91,-0.3486,0.0801,1.1658,-5.5649,-0.3664,-0.5954,100103.00,28.32,102.24,0.000000,0.000000,0.0000
92,-0.3489,0.0913,1.1633,-7.4656,-1.0305,-0.5191,100101.00,28.32,102.41,0.000000,0.000000,0.0000
93,-0.3521,0.0911,1.1611,-8.1145,-1.7786,-0.9160,100099.00,28.32,102.58,0.000000,0.000000,0.0000
94,-0.3528,0.0906,1.1663,-8.0382,-1.4427,-0.7710,100108.00,28.33,101.82,0.000000,0.000000,0.0000
95,-0.3496,0.0901,1.1653,-6.9618,-0.9160,-0.3588,100106.00,28.32,101.99,0.000000,0.000000,0.0000
96,-0.3555,0.0889,1.1772,-6.1145,-0.2672,-0.0687,100105.00,28.32,102.07,0.000000,0.000000,0.0000
97,-0.3577,0.0881,1.1665,-6.3969,-0.3588,-0.2748,100101.00,28.32,102.41,0.000000,0.000000,0.0000
