sample,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pressure_pa,temperature_c,altitude_m
146,0.0554,-0.0322,1.2439,-7.7634,-1.2824,-0.6947,-31603.00,27.35,0.00
147,0.0603,-0.0303,1.2451,-7.6947,-1.0763,-0.7328,-31600.00,27.35,0.00
148,0.0588,-0.0342,1.2510,-7.8397,-1.3130,-0.8092,-31604.00,27.35,0.00
149,0.0583,-0.0298,1.2454,-7.7939,-1.3359,-0.5420,-31599.00,27.35,0.00
150,0.0662,-0.0281,1.2473,-7.6794,-1.3206,-0.7863,-31603.00,27.35,0.00
151,0.0544,-0.0261,1.2422,-7.6107,-1.1679,-0.7405,-31602.00,27.35,0.00
152,0.0603,-0.0305,1.2432,-7.6565,-1.3359,-0.8321,-31599.00,27.35,0.00
153,0.0586,-0.0261,1.2539,-7.6718,-1.3435,-0.7939,-31603.00,27.35,0.00
154,0.0586,-0.0300,1.2607,-7.6641,-1.2061,-0.9160,-31601.00,27.35,0.00
155,0.0593,-0.0266,1.2439,-7.6412,-1.3130,-0.8473,-31603.00,27.35,0.00
156,0.0596,-0.0271,1.2512,-7.8931,-1.1527,-0.6260,-31604.00,27.35,0.00
157,0.0615,-0.0286,1.2466,-7.7863,-1.0992,-0.6947,-31603.00,27.35,0.00
158,0.0593,-0.0283,1.2490,-7.6718,-1.2290,-0.7863,-31600.00,27.35,0.00
159,0.0574,-0.0312,1.2495,-7.8244,-1.1221,-0.6718,-31605.00,27.35,0.00
160,0.0591,-0.0308,1.2520,-7.8168,-1.1679,-0.6947,-31601.00,27.35,0.00
161,0.0571,-0.0271,1.2522,-7.6718,-0.9847,-0.7328,-31601.00,27.35,0.00
162,0.0593,-0.0276,1.2515,-7.9771,-1.2214,-0.7863,-31598.00,27.35,0.00
163,0.0613,-0.0276,1.2529,-7.6183,-1.1832,-0.7481,-31600.00,27.35,0.00
164,0.0581,-0.0276,1.2473,-7.6107,-1.2519,-0.8473,-31603.00,27.35,0.00
165,0.0620,-0.0291,1.2490,-7.7328,-1.3053,-0.9313,-31601.00,27.35,0.00
166,0.0669,-0.0278,1.2500,-7.7099,-1.2137,-0.7252,-31602.00,27.35,0.00
167,0.0557,-0.0303,1.2463,-7.8015,-1.3435,-0.8855,-31602.00,27.35,0.00
168,0.0532,-0.0278,1.2505,-7.7939,-1.4427,-0.8244,-31603.00,27.35,0.00
169,0.0566,-0.0308,1.2378,-7.7176,-1.0305,-0.7710,-31602.00,27.35,0.00
170,0.0583,-0.0293,1.2590,-7.7099,-1.1603,-0.6565,-31602.00,27.35,0.00
171,0.0615,-0.0305,1.2422,-7.5725,-1.2061,-0.7939,-31599.00,27.35,0.00
172,0.0613,-0.0278,1.2498,-7.7023,-1.1832,-0.7710,-31602.00,27.35,0.00
173,0.0559,-0.0276,1.2532,-7.7252,-1.2824,-0.7863,-31605.00,27.35,0.00
174,0.0625,-0.0356,1.2520,-7.6336,-1.1450,-0.8092,-31605.00,27.35,0.00
175,0.0564,-0.0366,1.2468,-7.7557,-1.3282,-0.9084,-31605.00,27.35,0.00
176,0.0647,-0.0325,1.2400,-7.6412,-1.0382,-0.7405,-31604.00,27.35,0.00
177,0.0552,-0.0259,1.2522,-7.7939,-1.0611,-0.7557,-31599.00,27.35,0.00
178,0.0605,-0.0364,1.2563,-7.8244,-1.2137,-0.9924,-31603.00,27.35,0.00
179,0.0642,-0.0310,1.2476,-7.5038,-1.3282,-0.7634,-31606.00,27.35,0.00
180,0.0608,-0.0256,1.2407,-7.6870,-1.2137,-0.7252,-31603.00,27.35,0.00
181,0.0601,-0.0305,1.2520,-7.7481,-1.3282,-0.5420,-31602.00,27.35,0.00
182,0.0601,-0.0339,1.2500,-7.6565,-1.0916,-0.7786,-31603.00,27.35,0.00
183,0.0581,-0.0271,1.2493,-7.8168,-1.0305,-0.9466,-31601.00,27.35,0.00
184,0.0596,-0.0298,1.2507,-7.8092,-1.2137,-0.7176,-31602.00,27.36,0.00
185,0.0681,-0.0305,1.2507,-7.7786,-1.0840,-0.7786,-31604.00,27.35,0.00
186,0.0623,-0.0347,1.2512,-7.8931,-1.1756,-0.7099,-31603.00,27.36,0.00
187,0.0620,-0.0278,1.2532,-7.7252,-1.1756,-0.7176,-31603.00,27.35,0.00
188,0.0603,-0.0320,1.2476,-7.5649,-1.2443,-0.7557,-31606.00,27.35,0.00
189,0.0618,-0.0251,1.2471,-7.7099,-1.3282,-0.7176,-31602.00,27.36,0.00
190,0.0527,-0.0308,1.2502,-7.7939,-1.2366,-0.6107,-31603.00,27.35,0.00
191,0.0554,-0.0278,1.2561,-7.7634,-1.2824,-0.7099,-31602.00,27.35,0.00
192,0.0598,-0.0276,1.2517,-7.8092,-1.2214,-0.8626,-31603.00,27.35,0.00
193,0.0576,-0.0310,1.2466,-7.5649,-1.4122,-0.6183,-31602.00,27.36,0.00
194,0.0625,-0.0295,1.2466,-7.8168,-1.1832,-0.6183,-31606.00,27.36,0.00
195,0.0630,-0.0322,1.2563,-7.7939,-1.2061,-0.5802,-31602.00,27.35,0.00
196,0.0576,-0.0315,1.2498,-7.6947,-1.1603,-0.8626,-31603.00,27.35,0.00
197,0.0620,-0.0310,1.2446,-7.8473,-1.2061,-0.8626,-31599.00,27.35,0.00
198,0.0586,-0.0361,1.2454,-7.8244,-1.1603,-0.7405,-31601.00,27.35,0.00
199,0.0576,-0.0300,1.2507,-7.8702,-1.1908,-0.6718,-31602.00,27.35,0.00
200,0.0581,-0.0300,1.2515,-7.5267,-1.2137,-0.7710,-31598.00,27.35,0.00
201,0.0596,-0.0295,1.2488,-7.6947,-1.3969,-0.7252,-31600.00,27.35,0.00
202,0.0596,-0.0251,1.2415,-7.5420,-1.2137,-0.7786,-31600.00,27.35,0.00
203,0.0579,-0.0291,1.2551,-7.7328,-1.2061,-0.8779,-31600.00,27.35,0.00
204,0.0598,-0.0325,1.2473,-7.7634,-1.2214,-0.7328,-31600.00,27.35,0.00
205,0.0618,-0.0322,1.2507,-7.7710,-1.2290,-0.6260,-31604.00,27.35,0.00
206,0.0593,-0.0332,1.2439,-7.6489,-1.2290,-0.8702,-31600.00,27.35,0.00
207,0.0571,-0.0293,1.2522,-7.7023,-1.3282,-0.7405,-31600.00,27.35,0.00
208,0.0591,-0.0327,1.2517,-7.7176,-1.1908,-0.8473,-31601.00,27.35,0.00
209,0.0610,-0.0364,1.2507,-7.7023,-1.0992,-0.6489,-31600.00,27.35,0.00
210,0.0583,-0.0291,1.2561,-7.6489,-1.1374,-0.6489,-31600.00,27.35,0.00
211,0.0613,-0.0288,1.2478,-7.6794,-1.2519,-0.9084,-31606.00,27.34,0.00
212,0.0603,-0.0271,1.2529,-7.8092,-1.3053,-0.6031,-31598.00,27.35,0.00
213,0.0569,-0.0264,1.2488,-7.7252,-1.1908,-0.7863,-31599.00,27.35,0.00
214,0.0566,-0.0308,1.2473,-7.7328,-1.1985,-0.7863,-31599.00,27.35,0.00
215,0.0576,-0.0320,1.2549,-7.7939,-1.2214,-0.7557,-31600.00,27.35,0.00
216,0.0598,-0.0342,1.2578,-7.7863,-1.2748,-0.8321,-31601.00,27.35,0.00
217,0.0562,-0.0251,1.2456,-7.7099,-1.2901,-0.9313,-31601.00,27.35,0.00
218,0.0613,-0.0325,1.2551,-8.0687,-1.1069,-1.1908,-31598.00,27.35,0.00
219,0.0630,-0.0237,1.2495,-8.0076,-1.4427,-0.5573,-31599.00,27.35,0.00
220,0.0623,-0.0320,1.2417,-7.5267,-1.2061,-1.4962,-31599.00,27.35,0.00
221,0.0583,-0.0227,1.2493,-7.2443,-0.7710,-0.9771,-31606.00,27.35,0.00
222,0.0586,-0.0193,1.2642,-6.5802,-1.4046,-0.9389,-31599.00,27.35,0.00
223,0.0571,-0.0247,1.2542,-6.4656,-0.1145,-1.0916,-31598.00,27.35,0.00
224,0.0535,-0.0276,1.2439,-8.6794,-1.9618,-0.7481,-31599.00,27.35,0.00
225,0.0625,-0.0464,1.2688,-7.8626,-1.6565,-0.0840,-31596.00,27.35,0.00
226,0.0564,-0.0220,1.2222,-7.8244,-0.9771,-0.8626,-31599.00,27.36,0.00
227,0.0652,-0.0339,1.2412,-6.3664,0.0382,-1.1603,-31600.00,27.35,0.00
